0.06,-0.04,65.3976,-409.0,-267.476184,-7.245043333,112.640685,(u'2018-02-23T21:53:49.000Z', ' + ', 1519422829.0)
0.05,-0.01,66.024,-1651.0,-1090.05624,-7.244988333,112.640528333,(u'2018-02-23T21:53:50.000Z', ' + ', 1519422830.0)
0.05,-0.01,65.3976,-1635.0,-1069.25076,-7.244933333,112.640373333,(u'2018-02-23T21:53:51.000Z', ' + ', 1519422831.0)
0.05,-0.02,65.178,-815.0,-531.2007,-7.24488,112.640218333,(u'2018-02-23T21:53:52.000Z', ' + ', 1519422832.0)
0.08,-0.04,66.4344,-416.0,-276.367104,-7.244826667,112.64006,(u'2018-02-23T21:53:53.000Z', ' + ', 1519422833.0)
0.07,-0.04,65.8044,-412.0,-271.114128,-7.244773333,112.639903333,(u'2018-02-23T21:53:54.000Z', ' + ', 1519422834.0)
0.05,-0.03,63.9288,-533.0,-340.740504,-7.24472,112.639751667,(u'2018-02-23T21:53:55.000Z', ' + ', 1519422835.0)
0.07,-0.03,65.1888,-544.0,-354.627072,-7.244665,112.639598333,(u'2018-02-23T21:53:56.000Z', ' + ', u'2018-02-23T21:53:56.000Z')
0.07,-0.02,65.6244,-821.0,-538.776324,-7.244608333,112.639443333,(u'2018-02-23T21:53:57.000Z', ' + ', 1519422837.0)
0.06,-0.03,66.024,-551.0,-363.79224,-7.244553333,112.639286667,(u'2018-02-23T21:53:58.000Z', ' + ', 1519422838.0)
0.06,-0.02,64.782,-810.0,-524.7342,-7.2445,112.639133333,(u'2018-02-23T21:53:59.000Z', ' + ', u'2018-02-23T21:53:59.000Z')
0.07,-0.02,63.9288,-800.0,-511.4304,-7.244446667,112.638981667,(u'2018-02-23T21:54:00.000Z', ' + ', 1519422840.0)
0.05,-0.04,64.152,-401.0,-257.24952,-7.244391667,112.63883,(u'2018-02-23T21:54:01.000Z', ' + ', 1519422841.0)
